vocab_class,classes,mapping,source,target
0,SC4,S,0,5
1,OC5,O,1,2
2,NC3,N,2,3
3,CC3,C,3,1
4,CC5,C,4,1
5,PC5,P,5,4
6,F,F,6,9
7,OCA7,O,7,2
8,OC3,O,8,2
9,OCA5,O,9,2
10,P,P,10,4
11,CCA7,C,11,1
12,SC5,S,12,5
13,Br,Br,13,7
14,NCA5,N,14,3
15,OC6,O,15,2
16,OC7,O,16,2
17,SC6,S,17,5
18,SCA6,S,18,5
19,NC5,N,19,3
20,CC7,C,20,1
21,SCA5,S,21,5
22,NCA6,N,22,3
23,N,N,23,3
24,CCA4,C,24,1
25,SeC5,Se,25,6
26,CCA5,C,26,1
27,I,I,27,10
28,Cl,Cl,28,8
29,CC6,C,29,1
30,Se,Se,30,6
31,NC6,N,31,3
32,PC6,P,32,4
33,NC4,N,33,3
34,OC4,O,34,2
35,SeCA5,Se,35,6
36,CCA6,C,36,1
37,CC4,C,37,1
38,NC7,N,38,3
39,O,O,39,2
40,SC7,S,40,5
41,OCA6,O,41,2
42,C,C,42,1
43,S,S,43,5
44,background_solvent,background_solvent,44,0
