"vocab_class","classes","mapping","source","target"
0,"sp2CA5","CA5",0,3
1,"sp3C3","C3",1,6
2,"sp2C5","C5",2,2
3,"sp3C4","C4",3,7
4,"sp3C5","C5",4,2
5,"sp2C7","C7",5,8
6,"sp2CA4","C4",6,7
7,"sp3C7","C7",7,8
8,"sp3C6","C6",8,4
9,"spCA6","CA6",9,5
10,"sp3CA7","C7",10,8
11,"sp3d","atom",11,1
12,"sp3d3","atom",12,1
13,"sp3CA6","CA6",13,5
14,"sp2C3","C3",14,6
15,"sp2C4","C4",15,7
16,"sp2CA6","CA6",16,5
17,"sp3d2","atom",17,1
18,"sp2C6","C6",18,4
19,"sp2CA7","C7",19,8
20,"sp3CA5","CA5",20,3
21,"sp2","atom",21,1
22,"sp3","atom",22,1
23,"sp","atom",23,1
24,"background_solvent","background_solvent",24,0
