"vocab_class","classes","mapping","source","target"
0,"sp2CA5","C",0,1
1,"sp3C3","C",1,1
2,"sp2C5","C",2,1
3,"sp3C4","C",3,1
4,"sp3C5","C",4,1
5,"sp2C7","C",5,1
6,"sp2CA4","C",6,1
7,"sp3C7","C",7,1
8,"sp3C6","C",8,1
9,"spCA6","C",9,1
10,"sp3CA7","C",10,1
11,"sp3d","atom",11,2
12,"sp3d3","atom",12,2
13,"sp3CA6","C",13,1
14,"sp2C3","C",14,1
15,"sp2C4","C",15,1
16,"sp2CA6","C",16,1
17,"sp3d2","atom",17,2
18,"sp2C6","C",18,1
19,"sp2CA7","C",19,1
20,"sp3CA5","C",20,1
21,"sp2","atom",21,2
22,"sp3","atom",22,2
23,"sp","atom",23,2
24,"background_solvent","background_solvent",24,0
