"Atom","theoretical_radius_batsanov","experimental_radius_xgen_1.0","experimental_radius_xgen_1.1","experimental_radius_xgen_1.2","experimental_radius_xgen_1.3","experimental_radius_xgen_1.4","experimental_radius_xgen_1.5","experimental_radius_xgen_1.6","experimental_radius_xgen_1.7","experimental_radius_xgen_1.8","experimental_radius_xgen_1.9","experimental_radius_xgen_2.0","experimental_radius_xgen_2.1","experimental_radius_xgen_2.2","experimental_radius_xgen_2.3","experimental_radius_xgen_2.4","experimental_radius_xgen_2.5","experimental_radius_xgen_2.6","experimental_radius_xgen_2.7","experimental_radius_xgen_2.8","experimental_radius_xgen_2.9","experimental_radius_xgen_3.0"
"B",1.8,1.2169,1.2274,1.2451,1.2694,1.2997,1.3363,1.3777,1.4212,1.4713,1.5193,1.5748,1.6252,1.6813,1.7383,1.7953,1.8589,1.9126,1.9717,2.035,2.0944,2.1586
"C",1.7,1.2949,1.3033,1.3177,1.3381,1.3639,1.396,1.4329,1.4728,1.5184,1.5634,1.6159,1.6636,1.7173,1.7719,1.8271,1.8883,1.9408,1.99,2.0605,2.1181,2.1817
"N",1.6,1.2805,1.288,1.3015,1.321,1.3459,1.3774,1.414,1.4536,1.4992,1.5442,1.5967,1.6444,1.6984,1.7533,1.8088,1.8703,1.93,1.9807,2.0434,2.1022,2.17
"P",1.95,1.2097,1.2205,1.2382,1.2631,1.294,1.3315,1.3735,1.4179,1.4686,1.5175,1.5739,1.6246,1.681,1.7389,1.7962,1.8601,1.9,1.9729,2.0374,2.0971,2.1607
"O",1.55,1.2601,1.2679,1.2808,1.3003,1.3258,1.3576,1.3945,1.4347,1.4812,1.5268,1.5799,1.6282,1.6825,1.7383,1.7944,1.8568,1.9096,1.9678,2.0305,2.0899,2.1532
"S",1.8,1.2169,1.2274,1.2451,1.2694,1.2997,1.3363,1.3777,1.4212,1.4713,1.5193,1.5748,1.6252,1.6813,1.7383,1.7953,1.8589,1.9126,1.9717,2.035,2.0944,2.1586
"Se",1.9,1.1818,1.1926,1.2103,1.2352,1.2661,1.3036,1.3459,1.3906,1.4413,1.4902,1.5472,1.5979,1.6549,1.7128,1.7707,1.8346,1.8895,1.9486,2.0131,2.0728,2.14
"Cl",1.8,1.222,1.2322,1.249,1.2727,1.3024,1.3381,1.3786,1.4218,1.471,1.5184,1.5739,1.6234,1.6792,1.7362,1.7932,1.8559,1.9096,1.9684,2.0197,2.11,2.1547
"F",1.5,1.2406,1.2484,1.2619,1.282,1.3078,1.3405,1.3783,1.4191,1.4665,1.5127,1.5664,1.6153,1.6702,1.7266,1.7833,1.8457,1.9,1.9576,2.0212,2.0806,2.1439
"Br",1.9,1.1818,1.1926,1.2103,1.2352,1.2661,1.3036,1.3459,1.3906,1.4413,1.4902,1.5472,1.5979,1.6549,1.7128,1.7707,1.8346,1.8895,1.9486,2.0131,2.0728,2.14
"I",2.1,1.1785,1.1893,1.207,1.2319,1.2628,1.3003,1.3429,1.3876,1.4383,1.4878,1.5448,1.5955,1.6525,1.711,1.7692,1.8331,1.888,1.9474,2.0116,2.0719,2.14
