vocab_class,classes,mapping,source,target
0,SC4,PSe,0,4
1,OC5,O,1,2
2,NC3,N,2,3
3,CC3,C,3,1
4,CC5,C,4,1
5,PC5,PSe,5,4
6,F,Halo,6,5
7,OCA7,O,7,2
8,OC3,O,8,2
9,OCA5,O,9,2
10,P,PSe,10,4
11,CCA7,C,11,1
12,SC5,PSe,12,4
13,Br,Halo,13,5
14,NCA5,N,14,3
15,OC6,O,15,2
16,OC7,O,16,2
17,SC6,PSe,17,4
18,SCA6,PSe,18,4
19,NC5,N,19,3
20,CC7,C,20,1
21,SCA5,PSe,21,4
22,NCA6,N,22,3
23,N,N,23,3
24,CCA4,C,24,1
25,SeC5,PSe,25,4
26,CCA5,C,26,1
27,I,Halo,27,5
28,Cl,Halo,28,5
29,CC6,C,29,1
30,Se,PSe,30,4
31,NC6,N,31,3
32,PC6,PSe,32,4
33,NC4,N,33,3
34,OC4,O,34,2
35,SeCA5,PSe,35,4
36,CCA6,C,36,1
37,CC4,C,37,1
38,NC7,N,38,3
39,O,O,39,2
40,SC7,PSe,40,4
41,OCA6,O,41,2
42,C,C,42,1
43,S,PSe,43,4
44,background_solvent,background_solvent,44,0

