"vocab_class","classes","mapping","source","target"
0,"sp2CA5","atom",0,1
1,"sp3C3","atom",1,1
2,"sp2C5","atom",2,1
3,"sp3C4","atom",3,1
4,"sp3C5","atom",4,1
5,"sp2C7","atom",5,1
6,"sp2CA4","atom",6,1
7,"sp3C7","atom",7,1
8,"sp3C6","atom",8,1
9,"spCA6","atom",9,1
10,"sp3CA7","atom",10,1
11,"sp3d","atom",11,1
12,"sp3d3","atom",12,1
13,"sp3CA6","atom",13,1
14,"sp2C3","atom",14,1
15,"sp2C4","atom",15,1
16,"sp2CA6","atom",16,1
17,"sp3d2","atom",17,1
18,"sp2C6","atom",18,1
19,"sp2CA7","atom",19,1
20,"sp3CA5","atom",20,1
21,"sp2","atom",21,1
22,"sp3","atom",22,1
23,"sp","atom",23,1
24,"background_solvent","background_solvent",24,0
