EntryID,Z-number,Anglealpha,Anglebeta,Anglegamma,a,b,c,ExperimentalMethod,DepositionDate,ReleaseDate,PDBID,TotalNumberofNon-polymerInstances,MolecularWeightperDepositedModel,NumberofDistinctNon-polymerEntities,RefinementResolution,EntryPolymerTypes,StructureDeterminationMethodology,AverageBFactor,RFree,RWork,RAll,RObserved,HighResolutionLimit,StuctureKeywords,SpaceGroup,NumberofDistinctFreeLigands,TotalNumberofFreeLigands,NumberofDistinctLigands,TotalNumberofLigands
1V0C,8,90,90,90,57.399,57.399,147.113,X-RAY DIFFRACTION,2008-03-20,2008-09-02,1V0C,4,23.76,3,2.2,Protein (only),experimental,19.15,0.225,0.177,NA,0.179,2.2,TRANSFERASE,P 43 21 2,2,2,2,2
1VSV,8,90,92.21,90,69.119,121.189,80.326,X-RAY DIFFRACTION,2008-03-11,2009-03-24,1VSV,4,155.99,1,2,Protein (only),experimental,32.3,0.238,0.205,NA,0.205,2,OXIDOREDUCTASE,P 1 21 1,1,4,1,4
2BUE,8,90,90,90,57.475,57.475,148.305,X-RAY DIFFRACTION,2008-03-20,2008-09-02,2BUE,4,23.69,3,1.7,Protein (only),experimental,17.58,0.211,0.182,NA,0.184,1.7,TRANSFERASE,P 43 21 2,2,2,2,2
2J9G,8,90,90,90,67.704,112.251,121.769,X-RAY DIFFRACTION,2008-03-21,2008-09-09,2J9G,6,99.95,4,2.05,Protein (only),experimental,23.64,0.236,0.19,NA,0.192,2.05,LIGASE,P 21 21 21,3,4,3,4
2JJB,16,90,90,90,92.481,117.863,203.451,X-RAY DIFFRACTION,2008-03-28,2009-01-13,2JJB,49,247.48,4,1.9,Protein (only),experimental,28.14,0.224,0.177,NA,0.179,1.9,HYDROLASE,P 21 21 21,2,41,2,41
2JJC,8,90,90,90,65.267,89.019,99.531,X-RAY DIFFRACTION,2008-03-31,2008-07-15,2JJC,2,24.58,2,1.95,Protein (only),experimental,17.19,0.217,0.178,NA,0.18,1.95,CHAPERONE,I 2 2 2,2,2,2,2
2JJI,2,90,97.02,90,43.03,75.72,42.97,X-RAY DIFFRACTION,2008-04-09,2008-05-27,2JJI,2,34.68,2,1.57,Protein (only),experimental,NA,0.196,NA,0.156,0.157,1.57,HYDROLASE/HYDROLASE INHIBITOR,P 1 21 1,2,2,2,2
2JJK,16,90,90,90,67.176,83.012,277.234,X-RAY DIFFRACTION,2008-04-09,2008-07-22,2JJK,2,148.57,1,2,Protein (only),experimental,24.32,0.266,0.213,NA,0.216,2,HYDROLASE,P 21 21 21,1,2,1,2
2JJN,2,90,101.05,90,53.46,68.004,57.407,X-RAY DIFFRACTION,2008-04-15,2009-07-14,2JJN,6,46.44,2,1.59,Protein (only),experimental,23.31,0.195,0.16,NA,0.162,1.59,OXIDOREDUCTASE,P 1 21 1,1,5,1,5
2JJO,2,90,93.92,90,57.84,36.526,96.004,X-RAY DIFFRACTION,2008-04-15,2009-07-14,2JJO,2,46.67,2,1.99,Protein (only),experimental,23.2,0.227,0.163,NA,0.167,1.99,OXIDOREDUCTASE,P 1 21 1,1,1,1,1
